item_name,viewers,cart_users,buyers,avg_price,units_purchased,revenue,view_to_cart_rate,conversion_rate
Google Land & Sea Unisex Tee,5696,1161,0,24.91,0,0.0,20.38,0.0
Google Beekeepers Tee Mint,5207,1298,46,24.68,52,752.0,24.93,0.88
Google Campus Bike Bottle,5020,1319,33,26.95,39,876.0,26.27,0.66
Stan and Friends Tee Green,4962,1267,38,24.65,48,700.0,25.53,0.77
Google Cork Base Tumbler,4904,1360,34,27.94,57,1281.0,27.73,0.69
Google Women's Microfleece Jacket Black,4699,1156,33,74.84,34,2130.0,24.6,0.7
Android Iconic Glass Bottle Green,4680,1365,16,23.91,37,503.0,29.17,0.34
Google Tech Taco,4542,1053,13,3.99,25,81.0,23.18,0.29
Stainless Bent Straw/Cleaner,4499,1293,13,3.95,22,46.0,28.74,0.29
#IamRemarkable Water Bottle,4489,1326,22,14.97,44,543.0,29.54,0.49
Google Mural Bottle,4381,1308,25,23.95,32,624.0,29.86,0.57
Google Cup Cap Tumbler Grey,4349,1290,22,29.93,33,834.0,29.66,0.51
Android Iconic Mug Gray,4295,1260,30,16.98,38,556.0,29.34,0.7
Google Tudes Recycled Tee,4256,1143,21,29.92,23,576.0,26.86,0.49
Google Mouse Pad Navy,4108,1036,25,4.99,43,177.0,25.22,0.61
Google Bottle Cleaner,3905,1144,4,9.99,5,40.0,29.3,0.1
Google Jotter Task Pad,3839,852,11,3.0,38,106.0,22.19,0.29
Google Small Cable Organizer Blue,3757,885,20,2.99,112,273.0,23.56,0.53
#IamRemarkable Ladies T-Shirt,3643,981,25,11.99,32,331.0,26.93,0.69
Android Iconic Pin,3373,741,18,4.0,23,79.0,21.97,0.53
Google LoveHandle Black,3266,710,30,9.97,53,440.0,21.74,0.92
Google Black Tee,3168,692,0,19.54,0,0.0,21.84,0.0
Google Pocket Tee Grey,3107,807,0,28.06,0,0.0,25.97,0.0
Google Cloud  Unisex Zip Hoodie,3087,869,0,68.99,0,0.0,28.15,0.0
Google Unisex Pride Eco-Tee Black,3018,624,0,21.89,0,0.0,20.68,0.0
Google Youth FC Tee Charcoal,2937,723,29,24.93,48,1000.0,24.62,0.99
Google Youth FC Longsleeve Charcoal,2834,669,23,29.9,32,804.0,23.61,0.81
Snowflake Android Cardboard Sculpture,2706,609,23,19.56,27,224.0,22.51,0.85
Google Cambridge Campus Sticker,2572,797,18,1.98,53,56.0,30.99,0.7
Google Confetti Slim Task Pad,2490,705,23,5.92,81,282.0,28.31,0.92
Google Cambridge Campus Zip Hoodie,2424,668,16,57.54,20,667.0,27.56,0.66
Google Aluminum Bottle Red,2407,617,21,7.96,26,175.0,25.63,0.87
Google Women's Eco Tee Black,2291,589,1,21.87,2,35.0,25.71,0.04
Google Cambridge Campus Bottle,2164,614,7,19.88,7,77.0,28.37,0.32
Google Cambridge Campus Unisex Tee,2144,608,13,24.83,13,194.0,28.36,0.61
Google Cambridge Campus Ladies Tee,2141,604,6,24.96,7,106.0,28.21,0.28
Google Cambridge Campus Tote,2113,600,4,10.97,6,36.0,28.4,0.19
Google Chrome Dino Light Up Water Bottle,1973,441,7,23.91,10,191.0,22.35,0.35
Android Iconic Sticker Sheet,1717,545,14,2.99,44,112.0,31.74,0.82
Google Tee Blue,1669,422,16,19.42,21,190.0,25.28,0.96
Google Shoreline Water Bottle,1631,375,10,25.94,11,246.0,22.99,0.61
Google Tee Dark Blue,1528,375,0,23.27,0,0.0,24.54,0.0
Google Recycled Pen Green,1339,316,11,2.0,27,45.0,23.6,0.82
Google Tee F/C Black,1295,429,7,17.74,8,118.0,33.13,0.54
Google Cloth & Pouch Black,1291,340,8,3.99,25,82.0,26.34,0.62
Google Mountain View Campus Unisex Tee,1166,330,7,23.6,10,144.0,28.3,0.6
Google Tonal Tee Coral,1104,257,7,19.36,9,85.0,23.28,0.63
